Dataset Title,Dataset Name,Views,Visits,Resource downloads,Period Name
Key Wildlife Sites,key-wildlife-sites,12,1,0,all
Tariff Tables,tariff-tables,12,0,0,all
Scanned images of the BGS collection of large scale geological field maps.,scanned-images-of-the-bgs-collection-of-large-scale-geological-field-maps1,12,0,0,all
Qualification Success Rates for School Sixth Forms,qualification_success_rates_for_school_sixth_forms,12,2,0,all
Information Asset Register,information-asset-register_1,12,1,0,all
Spend over 25k in Coventry & warwickshire Partnership NHS Trust,spend-over-25k-october-2010,12,0,0,all
"NHS England: HES, Singleton and multiple deliveries by birth weight and birth status 2006-07",england-nhs-singleton-and-multiple-deliveries-by-birth-weight-and-birth-status-2006-07,12,7,0,all
Detailed River Network - Line feature class (AfA036),detailed-river-network--line-feature-class-afa036,12,7,0,all
Texture Group,texture-group1,12,6,0,all
CPS - The number of Conditional Cautions administered by Area,cps-number-of-conditional-cautions-by-area,12,3,0,all
Kreate IT,kreate-it,12,9,0,all
Genetically modified organisms (GMO) Policy & Regulation ,genetically-modified-organisms-gmo-policy-regulation,12,3,0,all
"Attendance at Grant-aided Primary, Post-primary and Special Schools (Northern Ireland)",attendance_at_grant-aided_primary_post-primary_and_special_schools_northern_ireland,12,4,0,all
"October 2012 spend over £25,000 in George Eliot Hospital NHS Trust",october-2012-spend-over-25-000-in-george-eliot-hospital-nhs-trust,12,2,0,all
Research Assessment Exercise 2001,research-assessment-exercise-2001,12,2,0,all
"Expenditure on local authority owned dwellings that received other ""Capital"" works - acquisitions - Supported Housing",expenditure-on-local-authority-owned-dwellings-that-received-other-capital-works-acquisitions-suppor,12,1,0,all
VAT registered enterprises by broad industry group in rural areas,vat_registered_enterprises_by_broad_industry_group_in_rural_areas,12,2,0,all
ScotPHO Alcohol Update,scotpho_alcohol_update,12,2,0,all
Horizon Structure,horizon-structure1,12,1,0,all
Debt Management Clerical Database,debt-management-clerical-database,12,10,0,all
Tree surveys,tree-surveys,12,0,0,all
NNPA Phase 1 Habitat Survey,nnpa-phase1,12,1,0,all
Alcohol and Tobacco Warehousing Declarations (ATWD),alcohol-and-tobacco-warehousing-declarations-atwd,12,7,0,all
Bikeability Database,bikeability-database,12,4,0,all
10 class settlement morphology,10-class-settlement-morphology,12,4,0,all
Background Noise Monitoring Locations,background-noise-monitoring-locations1,12,4,0,all
Student Support for Higher Education in England,student_support_for_higher_education_in_england_,12,0,0,all
Expenditure transactions over £25k for May 2013,expenditure-transactions-over-25k-for-may-2013,12,0,0,all
ROS - Cadastral Parcel Reference Points West Lothian- DATASET,ros-cadastral-parcel-reference-points-west-lothian-dataset,12,1,0,all
LPS OSNI Administrative Boundaries LGDs 2012 (INSPIRE View Service),lps-osni-administrative-boundaries-lgds-2012-inspire-view-service,12,0,0,all
"Spend over £25,000 in North Middlesex University Hospital NHS Trust",financial-transactions-data-north-middlesex-university-hospital-nhs-trust-december-2010,12,0,0,all
End of Custody Licence releases and recalls,prison-end-of-custody-licence-releases-and-recalls-england-and-wales,12,2,0,all
"Spend over £25,000 by West Midlands Strategic Health Authority",financial-transactions-data-west-midlands-strategic-health-authority-december-2010,12,3,0,all
Offender Learning and Skills Service OLASS  YOL1 Data Returns,offender-learning-and-skills-service-olass-yol1-data-returns,12,2,0,all
WATCH forcing data (WFD) - 20th Century  LWdown (surface incident longwave radiation) 1901-2001,watch-forcing-data-wfd-20th-century-lwdown-surface-incident-longwave-radiation-1901-20011,12,1,0,all
PAYE data,paye-data,12,5,0,all
Non Housing Council Property Assests,nonhousingassets,12,2,0,all
"Over £25,000 spend ICHNT 2012 P03 June Return",over-25-000-spend-ichnt-2012-p03-june-return,12,1,0,all
Payments to suppliers greater than £25000 Aug 2013,payments-to-suppliers-greater-than-25000-aug-2013,12,0,0,all
Map based index (GeoIndex) water wells with water level measurements,map-based-index-geoindex-water-wells-with-water-level-measurements,12,2,0,all
Normal Year Precipitation Patterns Dataset for the Jazira Region of Syria,normal-year-precipitation-patterns-dataset-for-the-jazira-region-of-syria,12,11,0,all
BCKLWN Statutory Safeguarding Zones,bcklwn-statutory-safeguarding-zones1,12,2,0,all
Competition Commission Salaries data as at 30 September 2012,competition-commission-salaries-data-30-september-2012,12,5,0,all
Marine Management Organisation Legacy Aggregate Dredging Licences Web Mapping Service (WMS),marine-management-organisation-legacy-aggregate-dredging-licences-web-mapping-service-wms,12,1,0,all
Plant Health Database,plant-health-database,12,2,0,all
Local Plan - Developed Coast,local-plan-developed-coast,12,0,0,all
"NHS England: HES, Treatment specialty of consultant with prime responsibility for patient 2003-04",england-nhs-treatment-specialty-2003-04,12,4,0,all
Public Confidence in Official Statistics in Northern Ireland,public_confidence_in_official_statistics_in_northern_ireland,12,8,0,all
"Payments to suppliers with value over £25,000",payments-suppliers-greater-than-25000-jun-12,12,1,0,all
"Think, Act, Report signups",think-act-report-signups,12,10,0,all
Article 4 Directions,article-4-directions7,12,0,0,all
"Spend over £25,000 in NHS Kent and Medway",spend-over-25-000-in-nhs-kent-and-medway-december-2012,12,2,0,all
Rural Heavy Metals Monitoring Scheme (Rainfall samples),rural-heavy-metals-monitoring-scheme-rainfall-samples1,12,2,0,all
Guests to Chevening,guests-to-chevening,12,0,0,all
Crown Prosecution Service case outcomes by principal offence category - November 2010,cps-case-outcomes-by-principal-offence-category-november-2010,12,0,0,all
Cemetry Layout,cemetry-layout,12,2,0,all
Construction Industry Return (CIR),construction-industry-return-cir,12,1,0,all
Waste Infrastructure Data Tables (AfA223),waste-infrastructure-data-tables-afa223,12,6,0,all
Psychological therapy staff,psychological_therapy_staff,12,1,0,all
Status of UK Biodiversity Action Plan priority species,status-of-uk-biodiversity-action-plan-priority-species,12,2,0,all
Higher and Supplemental Qualifications bulletin,higher_and_supplemental_qualifications_bulletin,12,0,0,all
"Spend over £25,000 in NHS Kent and Medway",spend-over-25-000-in-nhs-kent-and-medway-july-2012,12,1,0,all
"NHS England: HES, Deliveries by length of gestation and method of onset of labour 2006-07",england-nhs-deliveries-by-length-of-gestation-and-method-of-onset-of-labour-2006-07,12,0,0,all
Scarborough Borough Council Article 4 Directions,scarborough-borough-council-article-4-directions,12,1,0,all
Freshwater East LNR,freshwater-east-lnr,12,3,0,all
Do smoking rates vary between more and less advantaged areas?,do_smoking_rates_vary_between_more_and_less_advantaged_areas,12,0,0,all
Plynlimon research catchments: catchment boundaries,plynlimon-research-catchments-catchment-boundaries,12,5,0,all
NI 198l - Children travelling to school - mode of transport usually used - Pupils aged 11-16 - by other,ni-198l-children-travelling-to-school-mode-of-transport-usually-used-pupils-aged-11-16-by-other,12,7,0,all
Database of registered users,database-of-registered-users,12,2,0,all
BMI further action,bmi-firther-action,12,1,0,all
Public Sector Productivity Estimates: Healthcare,public_sector_productivity_estimates-healthcare,12,2,0,all
Historic and Projected Data from the Period and Cohort Life Tables,historic_and_projected_data_from_the_period_and_cohort_life_tables,12,2,0,all
"Spend over £25,000 in Central and Eastern Cheshire PCT",financial-transactions-data-central-and-eastern-cheshire-primary-care-trust2,12,0,0,all
uk-financial-transactions-data-barnet-primary-care-trust,spend-over-25000-in-barnet-primary-care-trust,12,0,0,all
Number of non-decent Local Authority dwellings,number-of-non-decent-local-authority-dwellings-as-at-1-april,12,4,0,all
Safety Critical Incidents Spreadsheet,safety-critical-incidents-spreadsheet,12,12,0,all
DOE Marine Division Winter nutrient monitoring (INSPIRE View Service),doe-marine-division-winter-nutrient-monitoring-inspire-view-service,12,0,0,all
2011 June Return,2011_june_return,12,0,0,all
Scottish Government Agricultural and Aquaculture Facilities View Service (WMS),scottish-government-agricultural-and-aquaculture-facilities-view-service-wms,12,1,0,all
Wards (2012) to primary care organisations (2012) Eng lookup,wards-2012-to-primary-care-organisations-2012-eng-lookup,12,0,0,all
Monitoring Determinants,monitoring-determinants,12,2,0,all
"First year UK domiciled HE students by qualification aim, mode of study, gender and disability 2006/07",uk-he-entrants-by-disability-200607,12,3,0,all
Great Yarmouth South Denes Enterprise Zone,great-yarmouth-south-denes-enterprise-zone,12,5,0,all
ENPA Section 3 Moor and Heath,enpa-section-3-moor-and-heath,12,2,0,all
Recruitment Exceptions 1 January 2012 to 31 March 2012,recruitment-exceptions-1-january-2012-to-31-march-2012,12,0,0,all
"Spend over £25,000 in East Midlands Ambulance Service NHS Trust in July 2012",spend-over-25-000-in-east-midlands-ambulance-service-nhs-trust-in-july-2012,12,9,0,all
North Lincolnshire Council Sites of Nature Conservation Importance,north-lincolnshire-council-sites-of-nature-conservation-importance,12,3,0,all
Proposed Ramsar sites,proposed-ramsar-sites,12,0,0,all
ID 2007 Barriers to Housing and Services,id_2007_barriers_to_housing_and_services,12,4,0,all
2D Benchmarking Model (AfA176),2d-benchmarking-model-afa176,12,10,0,all
Free flow vehicle speeds in Great Britain,free_flow_vehicle_speeds_in_great_britain,12,0,0,all
Database Army HIVE,database-army-hive,12,3,0,all
BIS GPC spend data over £500 - September 2012,bis-gpc-spend-data-over-500-september-2012,12,0,0,all
Plynlimon research catchments: subcatchment boundaries,plynlimon-research-catchments-subcatchment-boundaries,12,6,0,all
bhr_exp_above_£25k-July-12,bhr-exp-above-25k-july-12,12,0,0,all
Technology Strategy Board Tax Arrangements for Public Sector Appointees,technology-strategy-board-tax-arrangements-for-public-sector-appointees,12,1,0,all
Conservation Areas,conservation-areas15,12,0,0,all
New Product Development Research Survey,new-product-development-research-survey,12,7,0,all
NI 046 - Young offenders access to suitable accommodation,ni-046-young-offenders-access-to-suitable-accommodation,12,3,0,all
Renewable Heat Incentives and Renewable Heat Premium Payments,renewable-heat-incentives-and-renewable-heat-premium-payments,12,0,0,all
Property Price Data Release Survey ,property-price-data-release-survey,12,0,0,all
Ionising Radiation,ionising-radiation,12,6,0,all
Corporate Operational Information system  ,corporate-operational-information-system,12,4,0,all
DCMS Equality Workforce Data 1 April 2010 - 31 March 2011,dcms-equality-workforce-2010-2011,12,1,0,all
"NHS Bedfordshire Expenditure Over £25,000 -2010-11",nhs-bedfordshire-expenditure-above-25k-2010-11,12,6,0,all
Gypsy and Traveller Sites,gypsy-and-traveller-sites,12,1,0,all
Primary school allocations,primary-school-allocations,12,1,0,all
NHS Rotherham Expenditure over £25K June 2012,nhs-rotherham-expenditure-over-25k-june-2012,12,1,0,all
Staff Sickness Absence Reports,staff-sickness-absence-reports_1,12,0,0,all
European Regional Development Fund 2000-2006 Closure Database,european-regional-development-fund-2000-2006-closure-database,12,9,0,all
Computer Account Data,computer-account-data,12,1,0,all
GPS OJEU Sourcing performance turnaround times,gps-ojeu-sourcing-performance-turnaround-times,12,6,0,all
Pharmacovigilance data about most commonly reported adverse reactions and lack of efficacy broken down by veterinary medicine type ,pharmacovigilance-data-about-most-commonly-reported-adverse-reactions-and-lack-of-efficacy-brok,12,9,0,all
HES-MHMDS Linkage - Bridging File,hes-mhmds-linkage--bridging-file,12,3,0,all
Harrogate District Air Quality Monitoring Stations,harrogate-district-air-quality-monitoring-stations,12,0,0,all
NYMNPA Landscape Character Assessment Landscape Types,nymnpa-landscape-character-assessment-landscape-types,12,0,0,all
Modelling a Back Series for the Consumer Price Index,modelling_a_back_series_for_the_consumer_price_index,12,3,0,all
Separated Service,separated-service,12,8,0,all
Armed Forces List 2013,armed-forces-list-2013,12,2,0,all
PCSPS Employer Pension Data [various authorities],pcsps-employer-pension-data-various-authorities,12,6,0,all
NHS Ashford CCG Expenditure for April 2014,nhs-ahford-ccg-expenditure-for-april-2014,12,0,0,all
Community networks,community-networks,12,0,0,all
Saved Local Plan Policy E10 - Possible Station Sites,saved-local-plan-policy-e10-possible-station-sites,12,5,0,all
HR ratio,hr-ratio,12,2,0,all
Coal Health Information Systems operated by Nabarro: Document Management System(DMS); Matter Management System (MMS); and Claims Management System (CMS).,coal-health-information-systems-operated-by-nabarro-document-management-systemdms-matter-manage,12,8,0,all
Conservation Areas,conservation-areas23,12,1,0,all
P11D return information,p11d-return-information,12,6,0,all
"Spend over £25,000 in Cornwall and Isles of Scilly Community Health Services",financial-transactions-data-cornwall-and-isles-of-scilly-chs,12,2,0,all
Affordable housing completions 5 year average,affordable-housing-completions-5-year-average,12,0,0,all
Map based index (GeoIndex) UTM (Universal Transverse Mercator) series 1:250000 Geological Maps,map-based-index-geoindex-utm-universal-transverse-mercator-series-1-250000-geological-maps,12,10,0,all
Payments to suppliers greater than £25000 Jun 2013,payments-to-suppliers-greater-than-25000-jnu-2013,12,0,0,all
Email license application database,email-license-application-database,12,0,0,all
MTL MS Access Database,mtl-ms-access-database,12,5,0,all
Network Compliance Report,network-compliance-report,12,7,0,all
NHS Direct Syndromic Surveillance System,nhs-direct-syndromic-surveillance-system,12,6,0,all
Payments to suppliers with a value over £25000 from Leeds Community Healthcare NHS Trust,healthcare-spend-over-25000-leedscommunity,12,4,0,all
TERRIER LAND (FREEHOLD),terrier-land-freehold,12,0,0,all
"1996 - 2013, North Western Inshore Fisheries and Conservation Authority (NWIFCA) Mussel Surveys",1996-2013-north-western-inshore-fisheries-and-conservation-authority-nwifca-mussel-surveys,12,6,0,all
YDNPA landscape character areas,ydnpa-landscape-character-areas,12,1,0,all
Map based index (GeoIndex) site investigation reports,map-based-index-geoindex-site-investigation-reports,12,1,0,all
"2014, Department of Energy and Climate Change (DECC), United Kingdom, Coastline",2014-department-of-energy-and-climate-change-decc-united-kingdom-coastline,12,0,0,all
Chapter,chapter_1,12,3,0,all
NHS Barnsley CCG Expenditure over £25K April 2013,nhs-barnsley-ccg-expenditure-over-25k-april-2013,12,0,0,all
"Tax deducted at source on interest (S17) from Return of Income Tax on company payments
CT61",tax-deducted-at-source-on-interest-s17-from-return-of-income-tax-on-company-paymentsct61,12,8,0,all
UKCP09: 5km gridded data - Annual Average - Greatest 5-day precipitation total (mm),ukcp09-5km-gridded-data-annual-averages-greatest-5-day-precipitation-total-mm,12,3,0,all
Coastal Overview (WMS),coastal-overview-wms1,12,0,0,all
Labour Market Supplement (LMS) report,labour-market-supplement-lms-report_1,12,11,0,all
GeoIndex Map Products Theme,geoindex-map-products-theme,12,4,0,all
Payments to suppliers with a value over £500 from the london Borough of Bromley,local-authority-spending-over-500-bromley,12,0,0,all
New Homes Bonus internal monitoring survey data,new-homes-bonus-internal-monitoring-survey-data,12,8,0,all
Rail freight forecasts for 2019,rail-freight-forecasts-for-2019,11,7,0,all
KH-4B CORONA Satellite Panchromatic Image for a Partial Area Extending across the Syrian and Turkish Border in the Al-Jazīrah Region of Syria,kh-4b-corona-satellite-panchromatic-image-for-a-partial-area-extending-across-the-syrian-and-tu1,11,1,0,all
"NHS England: HES, Duration of postnatal stay by Strategic Health Authority of treatment 2006-07",england-nhs-duration-of-postnatal-stay-by-strategic-health-authority-of-treatment-2006-07,11,2,0,all
Copeland Cemeteries,copeland-cemeteries,11,1,0,all
Marine Research Management and Information Tool (MaRMIT) ,marine-research-management-and-information-tool-marmit,11,4,0,all
Northern Ireland Annual Business Inquiry,northern_ireland_annual_business_inquiry_,11,3,0,all
Independent Monitoring Board Conduct & Discipline Cases,independent-monitoring-board-conduct-discipline-cases,11,4,0,all
cecpct spend over 25K,cecpct_spend_over_25000_june,11,2,0,all
WHS,whs,11,1,0,all
Local Plan - Urban Greenscape Protection,local-plan-urban-greenscape-protection,11,2,0,all
"Forestry Commission spend over £25,000",fc-over-25k-1105,11,0,0,all
North Lincolnshire Council Air monitoring - Automatic Locations,north-lincolnshire-council-air-monitoring-automatic-locations,11,0,0,all
Crown Prosecution Service Conditional Cautioning data Quarter 2 2011-2012,crown-prosecution_service_conditional_cautioning_data_q2_2011_-_2012,11,7,0,all
Under Eighteen Support Team System,under-eighteen-support-team-system,11,9,0,all
ArmyInformation Asset Register,armyinformation-asset-register,11,6,0,all
"Core Department for Environment, Food and Rural Affairs (Defra) financial data",core-department-for-environment-food-and-rural-affairs-defra-financial-data,11,3,0,all
AWP Mental Health Partnership NHS Trust over £25K expenditure April 2014,awp-mental-health-partnership-nhs-trust-over-25k-expenditure-april-2014,11,2,0,all
NIAS Location of ambulance stations and deployment points in Northern Ireland (Pre-defined Download),nias-location-of-ambulance-stations-and-deployment-points-in-northern-ireland-pre-defined-downl,11,4,0,all
"NHS England: HES, External cause 2005-06",england-nhs-external-cause-2005-06,11,3,0,all
VTS spend over £500,vts-financial-transactions-december,11,0,0,all
Saved Local Plan Policy C8 - Dalton Town Centre,saved-local-plan-policy-c8-dalton-town-centre,11,5,0,all
United Kingdom Fishing Vessel Numbers by Home Port 2007-2011,united-kingdom-fishing-vessel-numbers-by-home-port-2007-20111,11,3,0,all
Work Capability Assessment Cohort Database,work-capability-assessment-cohort-database,11,2,0,all
"NHS England: HES, Main procedures and interventions 4 character 2006-07",england-nhs-main-procedures-and-interventions-4-character-2006-07,11,4,0,all
National Forest Estate Ownership,national-forest-estate-ownership,11,2,0,all
Sandwell MBC Continuous Air Quality Assessment -Annual Mean Pollutant Concentrations,sandwell-mbc-continuous-air-quality-assessment-annual-mean-pollutant-concentrations,11,1,0,all
Water Framework Directive Groundwater bodies (AfA090),water-framework-directive-groundwater-bodies-afa090,11,5,0,all
Animal Housing System,animal-housing-system,11,7,0,all
Screening Population Index,screening-population-index,11,0,0,all
NHS Leeds spend over £25000 in June 2012,nhs-leeds-spend-over-25000-in-june-2012,11,6,0,all
ESF Provision for Families with Multiple Problems,esf_provision_for_families_with_multiple_problems,11,5,0,all
GPC transactions of £500 and above during November 2012,gpc-transactions-of-500-and-above-during-november-2012,11,0,0,all
May 2013 spend over £25k,may-2013-spend-over-25k,11,0,0,all
Neighbourhood Management Areasv1,neighbourhood-management-areasv1,11,1,0,all
Rural Development Programme for England (RDPE) Delivery Team  Technical Assistance Funding ,rural-development-programme-for-england-rdpe-delivery-team-technical-assistance-funding,11,4,0,all
Estate / building maps,estate--building-maps,11,0,0,all
Smart Debit,smart-debit,11,5,0,all
"Land Cover Map 2007 (1km percentage target class, N.Ireland)",land-cover-map-2007-1km-percentage-target-class-n-ireland,11,3,0,all
WIAT Challenge Fund Boundary,wiat-challenge-fund-boundary,11,3,0,all
Official Statistics: Children’s social care providers and places,official-statistics-childrens-social-care-providers-and-places,11,3,0,all
Customer Feedback Handler,customer-feedback-handler,11,8,0,all
ROS - Cadastral Parcel Reference Points Aberdeen- DATASET,ros-cadastral-parcel-reference-points-aberdeen-dataset,11,2,0,all
"December Agricultural and Horticultural Survey, NI",december_agricultural_and_horticultural_survey_ni,11,0,0,all
Residential Bursary Fund annual MI return,residential-bursary-fund-annual-mi-return,11,1,0,all
DECC HR system,decc-hr-system,11,7,0,all
North Lincolnshire Council Historic Landscape Characteristics Zones,north-lincolnshire-council-historic-landscape-characteristics-zones,11,3,0,all
Payments to suppliers over £500 for June 2012 from Acas,payments-to-suppliers-over-500-for-june-2012-from-acas,11,0,0,all
Battery Approved Exporters - Industrial and Automotive,battery-exporters--industrial-and-automotive-afa337,11,0,0,all
Withdrawn Coins,withdrawn-coins,11,3,0,all
"NHS England: HES, Maternity place of delivery 1989-90 to 2007-08",england-nhs-maternity-place-of-delivery-1989-90-to-2007-08,11,0,0,all
Youth Offending Team's Community Safety and Public Protection Incidents (CSPPI),significant-incident-log-csppi,11,3,0,all
Bereavement Benefit,bereavement-benefit,11,1,0,all
Hepatitis C virus and human T-lymphotropic virus  - HCV AND HTLV NATIONAL REGISTERS,hepatitis-c-virus-and-human-t-lymphotropic-virus--hcv-and-htlv-national-registers,11,4,0,all
LCHS expenditure over £25k March 2013,lchs-expenditure-over-25k-march-2013,11,1,0,all
"Spend over £25,000 in CWDC March 2011",spend-over-25k-mar-2011,11,0,0,all
NHS Horsham and Mid Sussex CCG Expenditure Over £25k,nhs-horsham-and-mid-sussex-ccg-expenditure-over-25k,11,0,0,all
"Years of Life Lost (YLL): Gastric, duodenal and peptic ulcers",years_of_life_lost_yll_-_gastric_duodenal_and_peptic_ulcers,11,2,0,all
Outbreak database for travel-associated infections,outbreak-database-for-travel-associated-infections,11,4,0,all
"Ministerial gifts, hospitality, overseas travel and meetings - 1 January to 31 March 2012.",ministerial-gifts-hospitality-overseas-travel-and-meetings-1-january-to-31-march-2012,11,1,0,all
Artificial Waterbody Surface Water transfers,artificial-waterbody-surface-water-transfers,11,2,0,all
Children and Family Court Advisory and Support Service Information Technology Particular Needs ,children-and-family-court-advisory-and-support-service-information-technology-particular-needs,11,0,0,all
Financial transactions over £25k from Derbyshire Healthcare NHS Foundation Trust,uk-dhcft-over25kspend-jan11,11,5,0,all
"NHS England: HES, Strategic health authority of residence 2006-07",england-nhs-strategic-health-authority-of-residence-2006-07,11,4,0,all
Saved Local Plan Policy A3 - Groundwater Protection,saved-local-plan-policy-a3-groundwater-protection,11,5,0,all
"Sandwell PCT spend over £25,000",sandwell-pct-spend-over-25-000,11,0,0,all
Lichfield District Council Smoke Control Zones,lichfield-district-council-smoke-control-zones,11,2,0,all
Personnel records,personnel-records,11,0,0,all
Television access services report,television-access-services-report,11,0,0,all
NI 043 - Young people within the Youth Justice System receiving a conviction in court who are sentenced to custody.,ni_043_-_young_people_within_the_youth_justice_system_receiving_a_conviction_in_court_who_are_senten,11,4,0,all
bhr_exp_above_£25k-Jun-12,bhr-exp-above-25k-jun-12,11,2,0,all
YDNPA 2009 Habitat Map,ydnpa-2009-habitat-map,11,0,0,all
NI 180 - The number of changes of circumstances which affect customers HB/CTB benefit entitlement within the year.,ni-180-the-number-of-changes-of-circumstances-which-affect-customers-benefit-entitlement,11,6,0,all
V11 DOL Data,v11-dol-data,11,0,0,all
"Spend over £25,000 in the Trust",finance-expenditure-april-2011,11,0,0,all
CEDaR New Lake Survey (INSPIRE View Service),cedar-new-lake-survey-inspire-view-service,11,3,0,all
NIEA - UWWTD Sensitive Areas (Metadata),niea-uwwtd-sensitive-areas-metadata,11,4,0,all
Senior salary disclosure,senior-salary-disclosure,11,4,0,all
Official Statistics: Children's Centres inspection outcomes,official-statistics-childrens-centres-inspection-outcomes,11,6,0,all
"National Assembly for Wales constituencies (Wal) 2011 Boundaries (Generalised, Clipped)",national-assembly-for-wales-constituencies-wal-2011-boundaries-generalised-clipped,11,0,0,all
DOE Marine Division Compliance monitoring with EC Bathing Waters Directive 76/160/EC and Revised Bathing Waters Directive (Pre-defined Download),doe-marine-division-compliance-monitoring-with-ec-bathing-waters-directive-76-160-ec-and-revise1,11,2,0,all
Ordnance Survey’s MiniScale (no grid) dataset,ordnance-surveys-miniscale-no-grid-dataset,11,1,0,all
"NHS England: HES, Inpatient Primary Diagnosis summary table 2007-08",england-nhs-inpatient-primary-diagnosis-summary-table-2007-08,11,1,0,all
ESRC expenditure in January 2014,esrc-expenditure-in-january-2014,11,0,0,all
Payments to suppliers over £500 for February 2012 from Acas,payments-to-suppliers-over-500-for-february-2012-from-acas,11,0,0,all
Groundwater Abstraction Pressure on Surface Water Bodies,groundwater-abstraction-pressure-on-surface-water-bodies,11,7,0,all
Local authority plan making data,local-authority-plan-making-data,11,0,0,all
CWI Housing Domain 2009,housing-well-being-index,11,0,723,all
Private Water Sampling,private-water-sampling,11,0,0,all
"Nephrops Catch Sampling Programme, East Irish Sea (FU14)",nephrops-catch-sampling-programme-east-irish-sea-fu14,11,8,0,all
Halton Local Nature Reserves,halton-local-nature-reserves,11,3,0,all
2004_11-Research Vessel (RV) Aora Seabed Video,2004_11-research-vessel-rv-aora-seabed-video,11,10,0,all
"NHS England: HES, Births with complications 2006-07",england-nhs-births-with-complications-2006-07,11,1,0,all
Forest Service Open Habitat Restoration in Forests (Metadata),forest-service-open-habitat-restoration-in-forests-metadata,11,7,0,all
New Deal for Partners: Tabulation tool,new_deal_for_partners_-_tabulation_tool,11,7,0,all
A612 Southern Link Road,a612-southern-link-road,11,3,0,all
Payments to suppliers February 2014,payments-to-suppliers-february-2014,11,0,0,all
BRC Buprestoidea and Elateroidea Species Richess in Britain and Ireland - View Service,brc-buprestoidea-and-elateroidea-species-richess-in-britain-and-ireland-view-service,11,3,0,all
Skills Conditionality Pilot,skills-conditionality-pilot,11,10,0,all
Digital radio report,digital-radio-report,11,1,0,all
September 2010 Payments to suppliers with a value of over £500 from Sutton Council,sept-2010-local-authority-spend-over-500-sutton,11,1,0,all
Commercial tender and contract documentation,commercial-tender-and-contract-documentation_1,11,6,0,all
ESRC GPC transactions in October 2013,esrc-gpr-transactions-over-500-in-october-2013,11,1,0,all
AFBI - Marine - Spatial survey sample sites (INSPIRE View Service),afbi-marine-spatial-survey-sample-sites-inspire-view-service,11,1,0,all
Departmental Contacts,departmental-contacts,11,0,0,all
Revenue-based Taxes and Benefits: Personal Equity Plans,revenue-based_taxes_and_benefits-personal_equity_plans,11,9,0,all
"Spend over £25,000 in the South West London & St Georges Mental Health NHS Trust",finance-expenditure11,11,0,0,all
Sunderland Wards 1982,sunderland-wards-1982,11,1,0,all
Tata Consultancy Services (TCS) scheme administration data,tata-consultancy-services-tcs-scheme-administration-data,11,7,0,all
Country plans for WW1 commemorations,country-plans-for-ww1-commemorations_1,11,6,0,all
ukcp09: Gridded Datasets of Monthly values - Mean vapour pressure (hPa),ukcp09-gridded-monthly-values-mean-vapour-pressure,11,6,0,all
Natural Flows - Q95 (Ml/d) ,natural-flows--q95-ml-d,11,10,0,all
Flood Map - Areas Benefitting from Flood Defences,flood-map-areas-benefitting-from-flood-defences5,11,0,0,all
surrey and sussex healthcare nhs trust ap and gl expenditure march 2013,surrey-and-sussex-healthcare-nhs-trust-ap-and-gl-expenditure-march-2013,11,4,0,all
Evaluation of specified UKTI services survey,evaluation-of-specified-ukti-services-survey,11,5,0,all
DCLG DATA4NR: Wounding (not endangering life): Recorded offences,wounding_not_endangering_life_-_recorded_offences,11,0,0,all
Payment to suppliers with a value over £500 from CLA,financial-transactions-data-clg-april-2011,11,2,0,all
Organogram and senior salaries at 30/09/2012,btpa_organogram_september2012,11,0,0,all
Drug misusers presenting for treatment,drug_misusers_presenting_for_treatment,11,0,0,all
DOE Marine Division Offshore Marine Litter Monitoring (Pre-defined Download),doe-marine-division-offshore-marine-litter-monitoring-pre-defined-download,11,1,0,all
CEDaR Northern Ireland Fish Inventory (INSPIRE View Service),cedar-northern-ireland-fish-inventory-inspire-view-service,11,1,0,all
testdataset,testdataset,11,0,0,all
"Spend over £25,000 in North East Ambulance Service NHS Trust",oct10-financial-transactions-data-north-east-ambulance-service-nhs-trust,11,2,0,all
oda-transparency-report-AUGUST-2013,oda-transparency-report-august-2013,11,3,0,all
Routine Quarterly Mental Health Minimum Dataset Reports- Q2 2010/11 organisation level data quality reports,organisation-level-data-quality-reports,11,4,0,all
Student Support Applications for Higher Education in Wales,student_support_applications_for_higher_education_in_wales,11,3,0,all
SDDC Smoke Control Areas,sddc-smoke-control-areas,11,0,0,all
ESRC GPC Transactions in December 2013,esrc-gpc-transactions-over-500-in-december-2013,11,1,0,all
Mandatory Work Activity,mandatory-work-activity,11,10,0,all
Index of Production and Construction in Wales,index_of_production_and_construction_in_wales,11,3,0,all
New Housing allocations,new-housing-allocations,11,0,0,all
"Land Capability Dataset for Archaeological Viewshed Analysis Study of Glengorm Area on the Isle of Mull, Scotland",land-capability-dataset-for-archaeological-viewshed-analysis-study-of-glengorm-area-on-the-isle,11,3,0,all
Biostratigraphical Interpretative Data Files,biostratigraphical-interpretative-data-files,11,1,0,all
Staff contact telephone numbers,staff-contact-telephone-numbers,11,1,0,all
Map based index (GeoIndex),map-based-index-geoindex,11,0,0,all
CRB teaching applications - North East,crb-checks-teaching-north-east,11,5,0,all
Payments to suppliers over £500 for July 2013 from Acas,payments-to-suppliers-over-500-for-july-2013-from-acas,11,1,0,all
Carers Allowance ,carers-allowance,11,0,0,all
